pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,5,6,8,11,4,1,6,2,4,32,5.421337843,0.169416808,
TRUE,5,2,6,11,4,1,6,2,4,32,5.350851297,0.167214103,
TRUE,5,3,6,17,11,18,4,19,6,39,5.691868305,0.145945341,
TRUE,5,2,8,11,8,1,6,2,4,28,4.840602875,0.172878674,
TRUE,5,4,9,18,6,18,4,19,6,37,5.191348791,0.140306724,
TRUE,5,2,8,12,3,2,8,6,8,23,3.614318848,0.157144298,
TRUE,5,6,7,17,6,14,8,18,8,22,3.300335169,0.150015235,
TRUE,5,9,11,13,11,18,4,19,6,31,4.902135611,0.158133407,
TRUE,5,3,4,15,8,2,8,6,8,25,3.775498152,0.151019926,
TRUE,5,1,8,16,6,1,6,2,4,38,5.86715579,0.154398837,
TRUE,5,3,1,14,11,2,8,6,8,23,3.868087769,0.168177729,
TRUE,5,4,11,17,9,14,8,18,8,26,3.762339592,0.144705369,
TRUE,5,7,4,16,10,14,8,18,8,20,3.546363831,0.177318192,
TRUE,5,5,11,13,11,2,8,6,8,23,3.848890781,0.167343077,
TRUE,5,3,4,18,6,14,8,18,8,28,3.920691729,0.140024705,
TRUE,5,2,3,18,12,18,4,19,6,41,5.642235041,0.137615489,
TRUE,5,2,4,16,6,2,8,6,8,27,3.80196929,0.140813677,
TRUE,5,8,7,16,1,17,11,19,10,39,6.624832392,0.169867497,
TRUE,5,3,1,18,5,14,8,18,8,28,3.798252106,0.135651861,
TRUE,5,2,1,15,3,1,6,2,4,36,5.853024006,0.162584,
TRUE,5,1,9,18,5,1,6,2,4,42,6.375515223,0.151797981,
TRUE,5,9,5,11,3,15,7,17,4,15,1.499807358,0.099987157,Team.RED
TRUE,5,3,10,17,9,18,4,19,6,39,5.472085238,0.140309878,
TRUE,5,2,4,14,6,2,8,6,8,23,3.4720366,0.150958113,
TRUE,5,7,11,17,9,14,8,18,8,22,3.562214375,0.161918835,
TRUE,5,3,3,11,7,2,8,6,8,17,3.146709204,0.185100541,
TRUE,5,5,3,12,11,2,8,6,8,23,3.743998289,0.162782534,
TRUE,5,4,11,14,2,1,6,2,4,36,6.272356033,0.174232112,
TRUE,5,6,4,17,8,14,8,18,8,22,3.334115744,0.151550716,
TRUE,5,2,11,15,3,1,6,2,4,36,5.992586136,0.166460726,
TRUE,5,2,11,15,9,1,6,2,4,36,6.467838049,0.179662168,
TRUE,5,3,7,17,10,18,4,19,6,39,5.283519268,0.135474853,
TRUE,5,5,10,13,3,1,6,2,4,34,5.501314163,0.161803358,
TRUE,5,9,7,15,8,18,4,19,6,27,4.647848845,0.17214255,
TRUE,5,6,3,16,9,18,4,19,6,33,5.191839933,0.157328483,
TRUE,5,6,2,18,12,14,8,18,8,24,4.061191797,0.169216325,
TRUE,5,2,12,17,6,1,6,2,4,40,6.188019276,0.154700482,
TRUE,5,8,12,15,8,18,4,19,6,35,5.276096106,0.150745603,
TRUE,5,5,5,12,9,2,8,6,8,19,3.325841665,0.175044298,
TRUE,5,2,5,11,5,2,8,6,8,19,3.30836916,0.174124693,
TRUE,5,4,5,11,8,2,8,6,8,17,3.019204378,0.177600258,
TRUE,5,4,6,14,4,2,8,6,8,23,3.467205048,0.150748046,
TRUE,5,5,3,14,1,19,9,19,8,29,3.413564444,0.117709119,Team.RED
TRUE,5,3,8,14,7,1,6,2,4,34,5.152986526,0.151558427,
TRUE,5,2,5,15,2,1,6,2,4,36,5.559900284,0.154441675,
TRUE,5,4,7,12,10,2,8,6,8,21,3.433362484,0.163493452,
TRUE,5,6,6,13,7,1,6,2,4,32,5.217755318,0.163054854,
TRUE,5,6,11,11,8,1,6,2,4,26,5.542806864,0.213184879,
TRUE,5,2,2,11,7,1,10,3,11,40,7.108565807,0.177714145,
TRUE,5,6,12,11,11,1,6,2,4,32,5.911482096,0.184733815,
TRUE,5,8,1,12,2,1,8,1,9,30,4.74301815,0.158100605,Team.BLUE
TRUE,5,3,11,13,9,2,8,6,8,21,3.624824524,0.172610692,
TRUE,5,6,6,18,3,14,8,18,8,22,3.386919737,0.153950897,
TRUE,5,9,10,11,6,3,9,5,7,14,2.459807158,0.175700511,Team.BLUE
TRUE,5,7,8,17,10,14,8,18,8,20,3.135135889,0.156756794,
TRUE,5,3,8,12,8,1,6,2,4,30,5.035239697,0.167841323,
TRUE,5,7,7,11,6,1,6,2,4,28,4.903647661,0.175130274,
TRUE,5,2,8,13,6,1,6,2,4,32,5.145542383,0.160798199,
TRUE,5,3,9,14,3,1,6,2,4,34,5.467461109,0.16080768,
TRUE,5,5,11,16,3,18,4,19,6,35,5.094302654,0.145551504,
TRUE,5,2,10,17,3,1,6,2,4,40,5.906185865,0.147654647,
TRUE,5,5,7,13,9,1,6,2,4,32,5.309652805,0.16592665,
TRUE,5,3,5,14,10,1,6,2,4,34,5.288608313,0.155547303,
TRUE,5,1,5,15,4,2,8,6,8,25,3.598468065,0.143938723,
TRUE,5,8,2,12,5,3,5,5,7,16,2.739664316,0.17122902,Team.BLUE
TRUE,5,6,8,15,5,14,8,18,8,22,3.462602377,0.157391017,
TRUE,5,5,12,17,9,18,4,19,6,35,5.640542984,0.161158371,
TRUE,5,5,11,18,6,14,8,18,8,24,3.452477217,0.143853217,
TRUE,5,8,6,17,7,18,4,19,6,29,4.514929771,0.155687233,
TRUE,5,3,11,17,1,14,8,18,8,28,3.773912191,0.134782578,
TRUE,5,8,7,11,4,15,7,17,5,15,1.482232809,0.098815521,Team.RED
TRUE,5,3,8,16,1,1,6,2,4,38,5.679917574,0.149471515,
TRUE,5,4,5,12,1,19,9,19,8,31,3.793944836,0.122385317,Team.RED
TRUE,5,9,3,12,7,3,5,5,7,16,2.501328468,0.156333029,Team.BLUE
TRUE,5,7,6,17,7,14,8,18,8,20,3.141145706,0.157057285,
TRUE,5,8,4,12,10,18,4,19,6,29,4.467096329,0.154037804,
TRUE,5,1,12,17,7,2,8,6,8,29,3.700648308,0.127608562,
TRUE,5,5,5,16,12,14,8,18,8,24,3.41633153,0.142347147,
TRUE,5,8,6,14,6,18,4,19,6,29,4.972247124,0.171456797,
TRUE,5,9,6,16,5,18,4,19,6,27,4.449608088,0.1648003,
TRUE,5,5,5,12,6,2,8,6,8,19,3.220603943,0.169505471,
TRUE,5,4,4,12,7,2,8,6,8,19,3.209419012,0.16891679,
TRUE,5,5,3,12,3,2,8,6,8,23,4.010787725,0.174382075,
TRUE,5,7,11,16,1,17,11,19,10,45,7.299209595,0.162204658,
TRUE,5,5,11,13,11,2,8,6,8,23,3.828640461,0.166462629,
TRUE,5,2,8,18,4,18,4,19,6,41,5.656107426,0.13795384,
TRUE,5,9,5,12,12,15,7,17,10,15,1.672555685,0.111503712,Team.RED
TRUE,5,7,5,15,9,14,8,18,8,20,3.223420382,0.161171019,
TRUE,5,3,9,12,4,2,8,6,8,21,3.456827641,0.16461084,
TRUE,5,2,3,12,8,1,6,2,4,30,5.069254637,0.168975155,
TRUE,5,4,9,17,1,14,8,18,8,26,3.549033165,0.136501276,
TRUE,5,5,12,17,8,18,4,19,6,35,5.624825716,0.160709306,
